Listings,Price,Room Type,Reviews,Location
Luxury Loft Private Room B (3C),100,Private room,13 reviews,"Williamsburg, Brooklyn"
Large sunny room across from park,60,Private room,3 reviews,"Bushwick, Brooklyn"
Cheap Budget Private Room #3,39,Private room,8 reviews,"Bushwick, Brooklyn"
Specious room in Brooklyn!!,75,Private room,2 reviews,"Crown Heights, Brooklyn"
Modern 1br loft apt in Williamsburg,175,Entire home/apt,8 reviews,"Williamsburg, Brooklyn"
"1Bedroom, Seconds from L train",81,Private room,20 reviews,"Bushwick, Brooklyn"
Carroll Gardens Guest Apartment,275,Entire home/apt,1 review,"Carroll Gardens, Brooklyn"
Williamsburg Luxury-Steps To Subway,90,Private room,159 reviews,"Williamsburg, Brooklyn"
Cozy Park Slope One Bedroom,149,Entire home/apt,11 reviews,"Park Slope, Brooklyn"
"Cozy, Bright Bushwick Room off L&M",53,Private room,4 reviews,"Bushwick, Brooklyn"
The Real Cool Large Private Deal,195,Entire home/apt,85 reviews,"Williamsburg, Brooklyn"
Sunny Suite Sleeps Up To Six,150,Entire home/apt,1 review,"Flatbush, Brooklyn"
Stunning and Modern next to Park,99,Entire home/apt,19 reviews,"Prospect Heights, Brooklyn"
Charming Brooklyn Garden House,275,Entire home/apt,23 reviews,"Park Slope, Brooklyn"
Sunny Room in Classic Artist's Loft,85,Private room,40 reviews,"Greenpoint, Brooklyn"
Hip/Trendy Brooklyn Loft Apartment.,45,Private room,6 reviews,"Bedford-Stuyvesant, Brooklyn"
Great Price for Perfect Location!,57,Private room,44 reviews,"Williamsburg, Brooklyn"
Spacious Clinton Hill Apartment,110,Entire home/apt,25 reviews,"Clinton Hill, Brooklyn"
East Williamsburg Artist Loft,50,Private room,14 reviews,"Williamsburg, Brooklyn"
Beautiful Brooklyn Heights Studio,149,Entire home/apt,10 reviews,"Brooklyn Heights, Brooklyn"
Fireplace! Apt Steps to Manhattan,185,Entire home/apt,38 reviews,"Downtown Brooklyn, Brooklyn"
"large bdroom, priv bth, priv living",85,Private room,26 reviews,"Bedford-Stuyvesant, Brooklyn"
Cheap Budget Private Room #4,39,Private room,14 reviews,"Bushwick, Brooklyn"
Large room w/ private office & bath,150,Private room,5 reviews,"Williamsburg, Brooklyn"
Quiet apartment in Williamsburg,130,Private room,64 reviews,"Williamsburg, Brooklyn"
Stunning! Williamsburg Dream Room.,110,Private room,49 reviews,"Williamsburg, Brooklyn"
MASSIVE SUITE + PRIVATE BATHROOM!!!,95,Private room,10 reviews,"Bushwick, Brooklyn"
Prime Carroll Gardens 1BR Apartment,185,Entire home/apt,19 reviews,"Gowanus, Brooklyn"
"Cozy, Clean Cobble Hill Brownstone",140,Entire home/apt,59 reviews,"Cobble Hill, Brooklyn"
Personal Studio in Crown Heights,79,Private room,12 reviews,"Crown Heights, Brooklyn"
Cozy bedroom in My Loft in New York,79,Private room,56 reviews,"Williamsburg, Brooklyn"
Modern Cozy Brownstone Apartment,95,Private room,42 reviews,"Williamsburg, Brooklyn"
A Breathtaking Brooklyn Experience!,99,Private room,154 reviews,"Fort Greene, Brooklyn"
Gorgeous Private 1 Bedroom,105,Private room,7 reviews,"Clinton Hill, Brooklyn"
Pretty and Private in Clinton Hill,100,Private room,1 review,"Clinton Hill, Brooklyn"
Cozy Bedroom in Cute BK Apartment!,55,Private room,9 reviews,"Bedford-Stuyvesant, Brooklyn"
BIG BROOKLYN ROOM A- NEXT TO METRO!,70,Private room,7 reviews,"Bedford-Stuyvesant, Brooklyn"
The Garden Apartment,150,Entire home/apt,3 reviews,"Park Slope, Brooklyn"
1 Bedroom Sunny Charming Apartment,120,Entire home/apt,1 review,"Bedford-Stuyvesant, Brooklyn"
"Private, Full Room, Very Quiet!",70,Private room,125 reviews,"Williamsburg, Brooklyn"
Lofty Townhouse Duplex w/ Roof Deck,238,Entire home/apt,43 reviews,"Park Slope, Brooklyn"
Large/bright Entire Apt. Lorimer L,130,Entire home/apt,129 reviews,"Williamsburg, Brooklyn"
Prospect Heights Pied-a-terre,119,Entire home/apt,3 reviews,"Crown Heights, Brooklyn"
New 1BR + 1BA with Private Entrance,89,Private room,20 reviews,"Bedford-Stuyvesant, Brooklyn"
COSY BEDROOM IN HUGE LOFT.,59,Private room,38 reviews,"Fort Greene, Brooklyn"
Lux 40th Flr Apt in Brooklyn Hghts,225,Entire home/apt,68 reviews,"Downtown Brooklyn, Brooklyn"
Comfy Queen Size Bed in Brooklyn,45,Private room,14 reviews,"East New York, Brooklyn"
Sweet and Neat Cobble Hill 1 BR,199,Entire home/apt,28 reviews,"Cobble Hill, Brooklyn"
Large Factory Loft! Steps to LTrain,80,Private room,27 reviews,"Williamsburg, Brooklyn"
Ebony & Ivory Close to Manhattan,99,Entire home/apt,4 reviews,"Bedford-Stuyvesant, Brooklyn"
Idyllic Boerum Hill One Bedroom,175,Entire home/apt,6 reviews,"Boerum Hill, Brooklyn"
"Spacious, Spotless 1Bd- BK Heights!",150,Entire home/apt,89 reviews,"Brooklyn Heights, Brooklyn"
Stunning 23 fl bedroom with views,125,Private room,22 reviews,"Downtown Brooklyn, Brooklyn"
"Big Sunny Guest Room, W'burg Bridge",74,Private room,106 reviews,"Williamsburg, Brooklyn"
"Deluxe 3 BDR ,1,5 bath, Near Subway",295,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
